f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,output
-0.0536687405015067,0.0,-0.1970866350336565,159.443,631.016,568.984,391.585,808.415,100.0,100.0,-0.0536687405015067,667.927,-0.3677115519695443,80.9157,633.15,566.85,472.436,727.564,100.0,100.0,-0.0536687405015067,332.845,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0,-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.5684578156079716
-0.0536687405015067,667.927,-0.3677115519695443,80.9157,633.15,566.85,472.436,727.564,100.0,100.0,-0.0536687405015067,332.845,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0,-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.5684578156079716
-0.0536687405015067,332.845,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0,-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-1.0603924949188328
-0.0536687405015067,0.0,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0,-0.0536687405015067,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0,-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-1.0629073879267696
-0.0536687405015067,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0,-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-1.049043486813913
-0.0536687405015067,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-0.7500551220340985,130.516,-1.049043486813913,90.5847,583.705,616.295,502.795,697.205,100.0,100.0,-1.0089739874393149
-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-0.7500551220340985,130.516,-1.049043486813913,90.5847,583.705,616.295,502.795,697.205,100.0,100.0,-0.7500551220340985,71.3253,-1.0089739874393149,85.3425,590.013,609.987,502.478,697.522,100.0,100.0,-0.969012616558345
-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-0.7500551220340985,130.516,-1.049043486813913,90.5847,583.705,616.295,502.795,697.205,100.0,100.0,-0.7500551220340985,71.3253,-1.0089739874393149,85.3425,590.013,609.987,502.478,697.522,100.0,100.0,-0.7500551220340985,36.4278,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0,-0.969012616558345
-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-0.7500551220340985,130.516,-1.049043486813913,90.5847,583.705,616.295,502.795,697.205,100.0,100.0,-0.7500551220340985,71.3253,-1.0089739874393149,85.3425,590.013,609.987,502.478,697.522,100.0,100.0,-0.7500551220340985,36.4278,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0,-0.7500551220340985,0.0,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0,-1.083362849249016
-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0,-0.0536687405015067,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0,-0.0536687405015067,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0,-0.7500551220340985,130.516,-1.049043486813913,90.5847,583.705,616.295,502.795,697.205,100.0,100.0,-0.7500551220340985,71.3253,-1.0089739874393149,85.3425,590.013,609.987,502.478,697.522,100.0,100.0,-0.7500551220340985,36.4278,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0,-0.7500551220340985,0.0,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0,-0.7500551220340985,67.3526,-1.083362849249016,77.3992,593.852,606.148,511.692,688.308,100.0,100.0,-1.204633223939631
