TimeStamp,PlayerForwardRadian,PlayerVelocity,PlayerRelativeDirectionRadian,RelativeDistance,Dist_from_Top,Dist_from_Bottom,Dist_from_Left,Dist_from_Right,PlayerHP,PlayerStamina
50.736,-0.212057,0.0,-0.473055,612.192,260.293,939.707,249.195,950.805,100.0,100.0
50.8029,-0.306742,137.073,-0.474937,605.408,262.37,937.63,255.755,944.245,100.0,100.0
50.8299,-0.413643,192.033,-0.475979,600.267,264.165,935.835,260.613,939.387,100.0,100.0
50.8619,-0.413643,257.482,-0.477306,592.062,267.226,932.774,268.266,931.734,100.0,100.0
50.914,-0.413643,364.268,-0.479804,574.512,274.015,925.985,284.516,915.484,100.0,100.0
50.9702,-0.490001,478.793,-0.481666,549.237,284.775,915.225,307.41,892.59,100.0,100.0
51.0178,-0.740456,570.064,-0.476049,522.294,299.86,900.14,329.936,870.064,100.0,100.0
51.0614,-0.966476,600.0,-0.461583,497.177,317.787,882.213,349.01,850.99,100.0,100.0
51.108,-1.11308,600.0,-0.435502,472.289,339.97,860.03,365.952,834.048,100.0,100.0
51.1458,-1.24747,600.0,-0.406872,453.833,359.613,840.387,377.374,822.626,100.0,100.0
51.1839,-1.24747,225.599,-0.395438,446.958,367.039,832.961,381.691,818.309,100.0,100.0
51.2238,-1.24747,37.3073,-0.393418,445.772,368.327,831.673,382.44,817.56,100.0,95.0
51.2625,-1.24747,0.0,-0.393418,445.772,368.327,831.673,382.44,817.56,100.0,95.0
51.3063,-1.24747,398.982,-0.364589,433.895,384.5,815.5,388.782,811.218,100.0,95.0
51.3535,-1.24747,320.488,-0.326696,421.022,404.1,795.9,395.404,804.596,100.0,95.0
51.3876,-1.24747,604.901,-0.286309,409.078,423.684,776.316,401.732,798.268,100.0,95.0
51.445,-1.24747,152.22,-0.258553,398.582,437.302,762.698,408.824,791.176,100.0,95.0
51.6357,-1.24747,0.0,-0.256593,396.31,438.634,761.366,410.822,789.178,100.0,95.0
51.7282,-1.24747,0.0,-0.25674,395.64,438.748,761.252,411.485,788.515,100.0,95.0
51.8235,-1.24747,0.0,-0.245606,396.198,442.879,757.121,409.849,790.151,100.0,95.0
51.8949,-0.633554,105.799,-0.229348,397.416,448.863,751.137,407.147,792.853,100.0,95.0
51.9379,-0.612174,0.0,-0.229348,397.416,448.863,751.137,407.147,792.853,100.0,92.0
51.968,-0.612174,0.0,-0.229348,397.416,448.863,751.137,407.147,792.853,100.0,92.0
52.0133,-0.612174,466.806,-0.210946,377.565,460.156,739.844,424.961,775.039,100.0,92.0
52.0586,-0.612174,202.799,-0.196422,364.884,468.001,731.999,436.289,763.711,100.0,92.0
52.1017,-0.612174,312.539,-0.161412,350.315,482.913,717.087,448.396,751.604,100.0,92.0
52.1378,-0.612174,34.4376,-0.155063,349.913,485.171,714.829,448.443,751.557,100.0,92.0
52.1861,-0.612174,47.5398,-0.154768,349.284,485.37,714.63,449.048,750.952,100.0,92.0
52.5861,-0.612174,0.0,-0.154768,349.284,485.37,714.63,449.048,750.952,100.0,92.0
52.9703,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.1013,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.2471,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.3294,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.37,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.4114,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,92.0
53.4779,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,87.0
53.5503,-0.612174,0.0,-0.155316,349.012,485.223,714.777,449.346,750.654,100.0,87.0
