TimeStamp,PlayerForwardRadian,PlayerVelocity,PlayerRelativeDirectionRadian,RelativeDistance,Dist_from_Top,Dist_from_Bottom,Dist_from_Left,Dist_from_Right,PlayerHP,PlayerStamina
122.429,-1.54069,600.0,-1.40981,523.85,193.966,1006.03,622.529,577.471,100.0,100.0
122.487,-1.54069,600.0,-1.40191,489.4,228.605,971.395,624.238,575.762,100.0,100.0
122.544,-1.54069,600.0,-1.39217,455.355,262.932,937.068,625.596,574.404,100.0,100.0
122.603,-1.54069,600.0,-1.38015,420.509,298.151,901.849,626.818,573.182,100.0,100.0
122.67,-1.54069,600.0,-1.36348,380.824,338.373,861.627,628.112,571.888,100.0,100.0
122.74,-1.55291,600.0,-1.34093,339.367,380.602,819.398,629.175,570.825,100.0,100.0
122.806,-1.55291,85.734,-1.33363,327.944,392.278,807.722,629.451,570.549,100.0,100.0
122.859,-1.55291,0.0,-1.33363,327.944,392.278,807.722,629.451,570.549,100.0,100.0
122.907,-1.55291,0.0,-1.33363,327.944,392.278,807.722,629.451,570.549,100.0,100.0
122.952,-1.61705,92.0981,-1.33006,323.969,396.415,803.585,629.259,570.741,100.0,100.0
123.004,-1.61705,198.466,-1.32205,315.418,405.332,794.668,628.847,571.153,100.0,100.0
123.061,-1.61705,315.144,-1.30625,299.867,421.607,778.393,628.093,571.907,100.0,100.0
123.112,-1.61705,32.1353,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,100.0
123.189,-1.27153,0.0,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,100.0
123.25,-1.27153,0.0,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,100.0
123.324,-1.27153,0.0,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,100.0
123.402,-1.27153,0.0,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,95.0
123.469,-1.27153,0.0,-1.30182,295.795,425.883,774.117,627.895,572.105,100.0,95.0
123.51,-1.27153,1048.17,-1.31054,252.878,466.68,733.32,641.429,558.571,100.0,95.0
123.539,-1.27775,673.042,-1.31622,230.142,488.318,711.682,648.541,551.459,100.0,95.0
123.606,-1.28231,150.194,-1.33324,219.168,498.029,701.971,654.925,545.075,100.0,95.0
123.695,-1.31242,0.0,-1.33735,218.251,498.711,701.289,656.012,543.988,100.0,95.0
123.775,-1.32035,0.0,-1.34002,217.953,498.867,701.133,656.648,543.352,100.0,95.0
123.85,-1.32559,0.0,-1.33863,217.204,499.666,700.334,656.524,543.476,100.0,95.0
123.916,-1.32272,111.233,-1.32451,212.48,504.974,695.026,654.698,545.302,100.0,95.0
123.976,-1.29341,122.532,-1.30451,208.888,509.516,690.484,651.531,548.469,100.0,95.0
124.037,-1.25111,0.0,-1.30363,208.681,509.764,690.236,651.409,548.591,100.0,90.0
124.091,-1.24921,0.0,-1.30363,208.681,509.764,690.236,651.409,548.591,100.0,90.0
124.157,-1.24921,0.0,-1.30363,208.681,509.764,690.236,651.409,548.591,100.0,90.0
124.19,-1.24921,604.554,-1.30408,188.36,529.343,670.657,656.856,543.144,100.0,90.0
124.241,-1.2366,0.0,-1.29349,184.254,533.827,666.173,656.058,543.942,100.0,90.0
124.322,-1.20771,0.0,-1.28723,184.13,534.266,665.734,654.984,545.016,100.0,90.0
124.405,-1.19265,0.0,-1.28469,184.079,534.445,665.555,654.55,545.45,100.0,90.0
124.467,-1.18655,0.0,-1.28053,183.724,535.004,664.996,653.917,546.083,100.0,90.0
124.495,-1.17617,35.225,-1.28096,183.118,535.562,664.438,654.166,545.834,100.0,90.0
124.565,-1.17637,0.0,-1.28106,183.074,535.599,664.401,654.196,545.804,100.0,85.0
124.648,-1.17655,0.0,-1.28106,183.074,535.599,664.401,654.196,545.804,100.0,85.0
124.68,-1.17655,0.0,-1.28106,183.074,535.599,664.401,654.196,545.804,100.0,85.0
124.757,-1.17655,0.0,-1.28699,183.191,535.18,664.82,655.204,544.796,100.0,85.0
124.834,-1.19091,0.0,-1.29653,183.368,534.528,665.472,656.837,543.163,100.0,85.0
124.865,-1.21401,38.862,-1.30062,183.394,534.3,665.7,657.552,542.448,100.0,85.0
124.895,-1.22387,0.0,-1.30088,183.345,534.335,665.665,657.612,542.388,100.0,85.0
124.973,-1.22445,0.0,-1.2996,183.327,534.415,665.585,657.39,542.61,100.0,85.0
125.024,-1.22135,79.6488,-1.30932,183.475,533.803,666.197,659.07,540.93,100.0,85.0
125.064,-1.24486,64.9022,-1.32226,183.643,533.042,666.958,661.326,538.674,100.0,85.0
125.158,-1.27617,98.5412,-1.33967,183.818,532.112,667.888,664.393,535.607,100.0,85.0
125.245,-1.31827,150.0,-1.37718,183.957,530.523,669.477,671.105,528.895,100.0,85.0
125.319,-1.40875,150.0,-1.43699,184.279,528.41,671.59,681.916,518.084,100.0,85.0
125.398,-1.55141,0.0,-1.43699,184.279,528.41,671.59,681.916,518.084,100.0,81.5
125.469,-1.55141,0.0,-1.43699,184.279,528.41,671.59,681.916,518.084,100.0,81.5
125.524,-1.55141,602.374,-1.61506,183.445,527.776,672.224,714.617,485.383,100.0,81.5
125.587,-1.95102,0.0,-1.6377,183.758,527.695,672.305,718.785,481.215,100.0,81.5
125.638,-1.99581,112.071,-1.66562,184.275,527.595,672.405,723.947,476.053,100.0,81.5
125.69,-2.04873,0.0,-1.66562,184.275,527.595,672.405,723.947,476.053,100.0,81.5
125.736,-2.04873,0.0,-1.66562,184.275,527.595,672.405,723.947,476.053,100.0,81.5
125.783,-2.04873,96.2789,-1.68861,182.631,529.677,670.323,727.966,472.034,100.0,81.5
125.847,-2.10005,0.0,-1.68861,182.631,529.677,670.323,727.966,472.034,100.0,78.5
125.905,-2.10005,0.0,-1.68861,182.631,529.677,670.323,727.966,472.034,100.0,78.5
125.951,-2.10005,55.1468,-1.66998,171.834,540.052,659.948,723.516,476.484,100.0,78.5
125.984,-2.11819,0.0,-1.67024,171.8,540.09,659.91,723.557,476.443,100.0,78.5
126.044,-2.11819,0.0,-1.6721,171.64,540.282,659.718,723.858,476.142,100.0,78.5
126.104,-2.11819,0.0,-1.67399,171.467,540.487,659.513,724.163,475.837,100.0,78.5
126.161,-2.15043,63.0455,-1.69451,170.762,541.718,658.282,725.394,474.606,100.0,78.5
126.214,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.263,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.318,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.365,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.407,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.454,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.5,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.543,-2.15043,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.59,-2.15055,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.645,-2.15055,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.701,-2.15055,0.0,-1.69456,170.758,541.723,658.277,725.402,474.598,100.0,78.5
126.758,-2.15055,0.0,-1.79631,216.77,499.893,700.107,752.793,447.207,100.0,78.5
126.807,-2.15055,48.7156,-1.79461,216.903,499.682,700.318,752.464,447.536,100.0,78.5
126.859,-2.15055,0.0,-1.79416,216.939,499.625,700.375,752.377,447.623,100.0,78.5
126.908,-2.15055,0.0,-1.79416,216.939,499.625,700.375,752.377,447.623,100.0,78.5
126.957,-2.15055,0.0,-1.79416,216.939,499.625,700.375,752.377,447.623,100.0,78.5
127.009,-2.15055,177.74,-1.77924,208.604,507.086,692.914,747.49,452.51,100.0,78.5
127.064,-2.15055,33.3098,-1.77861,204.561,511.015,688.985,746.529,453.471,100.0,78.5
127.111,-2.15055,395.379,-1.77343,186.314,528.673,671.327,741.819,458.181,100.0,78.5
127.164,-2.15055,101.971,-1.75654,177.761,536.471,663.529,737.15,462.85,100.0,78.5
127.213,-2.15055,59.9062,-1.7355,167.511,545.932,654.068,731.789,468.211,100.0,78.5
127.258,-2.15055,0.0,-1.73728,167.28,546.207,653.793,732.043,467.957,100.0,78.5
127.301,-2.15055,108.555,-1.75973,165.189,548.926,651.074,735.348,464.652,100.0,78.5
127.344,-2.15055,0.0,-1.75959,165.086,549.022,650.978,735.305,464.695,100.0,78.5
127.391,-2.15055,58.6225,-1.77765,163.289,551.367,648.633,737.859,462.141,100.0,78.5
127.442,-2.15055,122.03,-1.80696,160.239,555.384,644.616,741.815,458.185,100.0,78.5
127.491,-2.15055,0.0,-1.80699,159.995,555.622,644.378,741.762,458.238,100.0,78.5
127.541,-2.15055,55.9432,-1.81366,159.234,556.614,643.386,742.616,457.384,100.0,78.5
127.594,-2.15055,0.0,-1.8134,159.264,556.575,643.425,742.583,457.417,100.0,78.5
127.645,-2.15055,50.0484,-1.81219,158.803,556.976,643.024,742.285,457.715,100.0,78.5
127.699,-2.15055,0.0,-1.81097,158.522,557.203,642.797,742.03,457.97,100.0,78.5
127.75,-2.15055,52.3861,-1.8144,158.036,557.805,642.195,742.441,457.559,100.0,78.5
127.806,-2.15055,0.0,-1.81485,157.945,557.911,642.089,742.488,457.512,100.0,88.5
127.857,-2.15055,55.3514,-1.82098,157.206,558.863,641.137,743.244,456.756,100.0,88.5
127.907,-2.15055,0.0,-1.82157,157.129,558.961,641.039,743.315,456.685,100.0,88.5
127.954,-2.47752,49.4216,-1.81716,157.665,558.27,641.73,742.774,457.226,100.0,88.5
127.999,-2.466,138.6,-1.78591,161.544,553.355,646.645,738.805,461.195,100.0,88.5
128.048,-2.3831,45.1559,-1.77795,162.427,552.22,647.78,737.729,462.271,100.0,88.5
128.098,-2.36262,53.4727,-1.7757,162.554,552.021,647.979,737.397,462.603,100.0,88.5
128.151,-2.3577,96.4007,-1.75269,165.097,548.802,651.198,734.188,465.812,100.0,88.5
128.197,-2.29813,46.5296,-1.75042,165.325,548.51,651.49,733.859,466.141,100.0,88.5
128.249,-2.29238,150.0,-1.71805,168.703,544.298,655.702,729.075,470.925,100.0,88.5
128.291,-2.20909,150.0,-1.68627,171.964,540.357,659.643,724.135,475.865,100.0,88.5
128.336,-2.1271,150.0,-1.65194,175.251,536.501,663.499,718.528,481.472,100.0,88.5
128.383,-2.03952,150.0,-1.61623,178.351,533.008,666.992,712.422,487.578,100.0,88.5
128.431,-1.94979,0.0,-1.61623,178.351,533.008,666.992,712.422,487.578,100.0,83.5
128.477,-1.94979,0.0,-1.61623,178.351,533.008,666.992,712.422,487.578,100.0,83.5
128.519,-1.94979,48.683,-1.61956,176.695,534.69,665.31,712.936,487.064,100.0,83.5
128.549,-1.94979,0.0,-1.61941,176.692,534.692,665.308,712.909,487.091,100.0,83.5
128.591,-1.94979,45.81,-1.62376,176.418,535.005,664.995,713.662,486.338,100.0,83.5
128.642,-1.97434,0.0,-1.62388,175.877,535.546,664.454,713.655,486.345,100.0,83.5
128.693,-1.97703,58.5217,-1.63134,174.95,536.545,663.455,714.909,485.091,100.0,83.5
128.722,-1.99735,0.0,-1.63164,174.893,536.606,663.394,714.956,485.044,100.0,83.5
128.759,-1.99825,37.2397,-1.63223,174.785,536.72,663.28,715.054,484.946,100.0,83.5
128.812,-2.00005,0.0,-1.63213,174.784,536.72,663.28,715.036,484.964,100.0,83.5
128.865,-1.99982,52.1837,-1.63013,174.919,536.564,663.436,714.696,485.304,100.0,83.5
128.896,-1.99491,0.0,-1.62983,174.939,536.541,663.459,714.644,485.356,100.0,83.5
128.929,-1.99415,59.5007,-1.62105,175.534,535.863,664.137,713.14,486.86,100.0,83.5
128.987,-1.97245,0.0,-1.61862,175.691,535.685,664.315,712.721,487.279,100.0,78.5
129.037,-1.96647,53.8405,-1.61269,176.071,535.259,664.741,711.697,488.303,100.0,78.5
129.07,-1.95189,0.0,-1.61195,176.119,535.206,664.794,711.569,488.431,100.0,78.5
129.101,-1.95006,40.9061,-1.60742,176.402,534.892,665.108,710.782,489.218,100.0,78.5
129.15,-1.93892,0.0,-1.60557,176.515,534.767,665.233,710.459,489.541,100.0,78.5
129.202,-1.93436,66.8551,-1.59353,177.255,533.965,666.035,708.352,491.648,100.0,78.5
129.229,-1.90472,0.0,-1.59272,177.301,533.916,666.084,708.21,491.79,100.0,78.5
129.287,-1.90276,57.0684,-1.59017,177.447,533.762,666.238,707.761,492.239,100.0,78.5
129.353,-1.89651,0.0,-1.59017,177.447,533.762,666.238,707.761,492.239,100.0,78.5
129.383,-1.89651,30.1794,-1.58924,177.499,533.706,666.294,707.597,492.403,100.0,78.5
129.425,-1.89423,0.0,-1.58927,177.465,533.74,666.26,707.6,492.4,100.0,78.5
129.484,-1.89442,0.0,-1.58927,177.465,533.74,666.26,707.6,492.4,100.0,73.5
129.533,-1.89442,0.0,-1.58927,177.465,533.74,666.26,707.6,492.4,100.0,73.5
129.561,-1.89442,0.0,-1.58927,177.465,533.74,666.26,707.6,492.4,100.0,73.5
129.6,-1.89442,42.7459,-1.5855,177.677,533.517,666.483,706.935,493.065,100.0,73.5
129.663,-1.8918,0.0,-1.58942,177.166,533.536,666.464,706.992,493.008,100.0,73.5
129.717,-1.89409,78.8377,-1.6058,175.812,534.967,665.033,709.846,490.154,100.0,73.5
129.746,-1.93532,0.0,-1.606,175.739,535.041,664.959,709.878,490.122,100.0,73.5
129.803,-1.93606,56.083,-1.60751,175.446,535.344,664.656,710.132,489.868,100.0,73.5
129.857,-1.94058,0.0,-1.6075,175.433,535.356,664.644,710.13,489.87,100.0,73.5
129.888,-1.9406,34.1807,-1.60535,175.158,535.618,664.382,709.743,490.257,100.0,73.5
129.928,-1.93711,0.0,-1.60251,175.331,535.429,664.571,709.252,490.748,100.0,73.5
129.989,-1.93018,15.1004,-1.59336,175.884,534.832,665.168,707.661,492.339,100.0,68.5
130.032,-1.90783,59.1403,-1.58376,176.441,534.245,665.755,705.979,494.022,100.0,68.5
130.068,-1.88441,0.0,-1.58354,176.454,534.232,665.768,705.94,494.06,100.0,68.5
130.131,-1.88388,0.0,-1.57691,176.821,533.854,666.146,704.772,495.228,100.0,68.5
130.193,-1.86774,19.5231,-1.56479,177.478,533.197,666.803,702.627,497.373,100.0,68.5
130.223,-1.83825,93.6136,-1.55013,178.23,532.48,667.52,700.01,499.99,100.0,68.5
130.265,-1.80262,0.0,-1.54876,178.293,532.422,667.578,699.764,500.236,100.0,68.5
130.326,-1.7993,0.0,-1.54666,178.389,532.334,667.666,699.387,500.613,100.0,68.5
130.379,-1.79422,52.21,-1.54485,178.471,532.261,667.739,699.063,500.937,100.0,68.5
130.406,-1.78985,0.0,-1.54475,178.407,532.325,667.675,699.046,500.954,100.0,68.5
130.457,-1.78982,0.0,-1.54475,178.407,532.325,667.675,699.046,500.954,100.0,63.5
130.52,-1.78982,0.0,-1.54475,178.407,532.325,667.675,699.046,500.954,100.0,63.5
130.552,-1.78982,0.0,-1.54475,178.407,532.325,667.675,699.046,500.954,100.0,63.5
130.602,-1.78982,0.0,-1.5417,178.544,532.203,667.797,698.497,501.503,100.0,63.5
130.655,-1.7952,59.3765,-1.5534,177.098,532.631,667.369,699.957,500.043,100.0,63.5
130.707,-1.81495,0.0,-1.55388,176.604,533.123,666.877,700.049,499.951,100.0,63.5
130.734,-1.81767,31.1379,-1.55541,176.263,533.46,666.54,700.325,499.675,100.0,63.5
130.774,-1.82227,0.0,-1.55622,176.121,533.6,666.4,700.47,499.53,100.0,63.5
130.824,-1.82457,48.3864,-1.556,176.048,533.673,666.327,700.434,499.566,100.0,63.5
130.869,-1.82434,0.0,-1.55596,176.051,533.671,666.329,700.425,499.575,100.0,63.5
130.899,-1.82422,35.4065,-1.55264,176.212,533.519,666.481,699.839,500.161,100.0,63.5
130.928,-1.81626,11.0542,-1.54799,176.436,533.312,666.688,699.014,500.986,100.0,63.5
130.993,-1.80507,0.0,-1.53915,176.853,532.937,667.063,697.441,502.559,100.0,58.5
131.057,-1.78381,0.0,-1.53134,177.203,532.638,667.362,696.048,503.952,100.0,58.5
131.087,-1.76507,0.0,-1.53134,177.203,532.638,667.362,696.048,503.952,100.0,58.5
131.123,-1.76507,52.9233,-1.52357,177.537,532.363,667.637,694.655,505.345,100.0,58.5
131.182,-1.74641,0.0,-1.52071,177.652,532.273,667.727,694.144,505.856,100.0,58.5
