TimeStamp,PlayerForwardRadian,PlayerVelocity,PlayerRelativeDirectionRadian,RelativeDistance,Dist_from_Top,Dist_from_Bottom,Dist_from_Left,Dist_from_Right,PlayerHP,PlayerStamina
72.1385,-0.05366874050150673,0.0,-0.19708663503365656,159.443,631.016,568.984,391.585,808.415,100.0,100.0
72.2282,-0.05366874050150673,667.927,-0.3677115519695443,80.9157,633.15,566.85,472.436,727.564,100.0,100.0
72.2833,-0.05366874050150673,332.845,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0
72.4419,-0.05366874050150673,0.0,-0.5987724743754749,78.6701,617.896,582.104,482.958,717.042,100.0,100.0
72.539,-0.05366874050150673,0.0,-0.6038662135549457,78.6858,617.557,582.443,483.172,716.828,100.0,100.0
72.6323,-0.05366874050150673,0.0,-0.5936151432228018,76.3582,619.525,580.475,484.647,715.353,100.0,100.0
72.7328,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
72.7791,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
72.9979,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
73.0478,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
73.2386,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
73.3903,-0.05366874050150673,0.0,-0.5684578156079716,76.3768,621.121,578.879,483.577,716.423,100.0,100.0
73.4275,-0.05366874050150673,1097.69,-1.0603924949188328,86.5081,586.755,613.245,505.68,694.32,100.0,100.0
73.5282,-0.05366874050150673,0.0,-1.0629073879267696,86.5454,586.616,613.384,505.852,694.148,100.0,100.0
73.6046,-0.7500551220340985,130.516,-1.0490434868139127,90.5847,583.705,616.295,502.795,697.205,100.0,100.0
73.6732,-0.7500551220340985,71.3253,-1.0089739874393149,85.3425,590.013,609.987,502.478,697.522,100.0,100.0
73.7436,-0.7500551220340985,36.4278,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0
73.8111,-0.7500551220340985,0.0,-0.969012616558345,82.8048,593.979,606.021,501.065,698.935,100.0,100.0
73.8814,-0.7500551220340985,67.3526,-1.083362849249016,77.3992,593.852,606.148,511.692,688.308,100.0,100.0
73.9743,-1.0833628492490157,0.0,-1.204633223939631,77.53,589.847,610.153,520.184,679.816,100.0,100.0
74.1821,-1.2046332239396307,0.0,-1.2240974060442358,77.0236,589.797,610.203,521.77,678.23,100.0,100.0
74.2978,-1.2240974060442353,150.0,-1.2171990868067584,85.7686,581.775,618.225,518.243,681.757,100.0,100.0
74.4843,-1.2171990868067584,150.0,-1.2166698856969709,113.735,555.56,644.44,508.502,691.498,100.0,100.0
74.6046,-1.2166698856969702,150.0,-1.2166764222439934,131.777,538.637,661.363,502.247,697.753,100.0,100.0
74.6949,-1.2166698856969702,150.0,-1.2166762739057084,145.329,525.926,674.074,497.547,702.453,100.0,100.0
74.7839,-1.2166698856969702,150.0,-1.2166758019886996,158.676,513.407,686.593,492.919,707.081,100.0,100.0
74.8769,-1.2166698856969702,150.0,-1.2166753327267699,172.628,500.32,699.68,488.081,711.919,100.0,100.0
74.9562,-1.2166698856969702,0.0,-1.2166753327267699,172.628,500.32,699.68,488.081,711.919,100.0,100.0
75.0048,-1.2166698856969702,0.0,-1.2166753327267699,172.628,500.32,699.68,488.081,711.919,100.0,100.0
75.0824,-1.2166698856969702,788.337,-1.2332567767839444,93.9726,573.567,626.433,516.822,683.178,100.0,100.0
75.1655,-1.2332567767839442,0.0,-1.2385184410457588,77.0274,589.423,610.577,522.816,677.184,100.0,100.0
75.2453,-1.2385184410457588,0.0,-1.289682545519778,77.0679,588.195,611.805,526.562,673.438,100.0,100.0
75.3222,-1.2896825455197782,0.0,-1.2995880332967156,76.7082,588.333,611.667,527.392,672.608,100.0,100.0
75.3948,-1.2995880332967151,0.0,-1.2957822625706907,76.0449,589.05,610.95,527.291,672.709,100.0,100.0
75.5053,-1.2957822625706903,0.0,-1.2746340796756628,76.061,589.488,610.512,525.744,674.256,100.0,100.0
75.5849,-1.2746340796756626,0.0,-1.231770081544496,76.1262,590.444,609.556,522.625,677.375,100.0,100.0
75.6537,-1.231770081544496,0.0,-1.231770081544496,76.1262,590.444,609.556,522.625,677.375,100.0,100.0
75.719,-1.231770081544496,41.6222,-1.1665052289199387,76.2887,592.099,607.901,517.933,682.067,100.0,100.0
75.7831,-1.1665052289199394,13.3777,-1.1347816990876964,76.3271,593.051,606.949,515.707,684.293,100.0,100.0
75.8612,-1.1347816990876964,0.0,-1.1228689261395504,76.3321,593.436,606.564,514.883,685.117,100.0,100.0
75.9409,-1.1228689261395504,0.0,-1.1211157646091332,76.2291,593.586,606.414,514.807,685.193,100.0,100.0
75.9908,-1.1211157646091332,0.0,-1.1211157646091332,76.2291,593.586,606.414,514.807,685.193,100.0,100.0
76.0592,-1.1211157646091332,0.0,-1.1211157646091332,76.2291,593.586,606.414,514.807,685.193,100.0,100.0
76.1285,-1.1211157646091332,0.0,-1.1188504834670496,76.2293,593.661,606.339,514.652,685.348,100.0,100.0
76.2039,-1.1188504834670492,0.0,-1.168103149493869,76.3189,592.023,607.977,518.033,681.967,100.0,100.0
76.2779,-1.168103149493869,0.0,-1.1779437457951167,76.0292,592.0,608.0,518.836,681.164,100.0,100.0
76.3482,-1.1779437457951167,0.0,-1.1785239316984666,76.0292,591.983,608.017,518.877,681.123,100.0,100.0
76.4358,-1.178523931698466,0.0,-1.164771737307414,76.0364,592.383,607.617,517.911,682.089,100.0,100.0
76.5151,-1.1647717373074136,0.0,-1.1263651409558262,76.0905,593.539,606.461,515.228,684.772,100.0,100.0
76.6147,-1.1263651409558255,0.0,-1.1263651409558262,76.0905,593.539,606.461,515.228,684.772,100.0,100.0
76.678,-1.1263651409558255,48.0948,-1.0644966661345479,76.2364,595.565,604.435,510.972,689.028,100.0,100.0
76.8252,-1.0644966661345479,0.0,-1.0232505745078166,76.3002,597.092,602.908,508.221,691.779,100.0,100.0
76.8997,-1.023250574507817,83.7368,-1.005840214576681,78.6318,595.824,604.176,505.844,694.156,100.0,100.0
76.9717,-1.0058402145766805,0.0,-1.0082942020615586,76.9353,597.156,602.844,506.912,693.088,100.0,100.0
77.0551,-1.0082942020615588,0.0,-0.8693525121092742,77.4919,603.04,596.96,497.935,702.065,100.0,100.0
77.1286,-0.8693525121092752,0.0,-0.8693525121092742,77.4919,603.04,596.96,497.935,702.065,100.0,100.0
77.3715,-0.8693525121092752,0.0,-0.8486953457851816,77.0136,604.445,595.555,497.039,702.961,100.0,100.0
